time-stamp,temp,pressure,humidity,clouds_all,rain_1h,weather_description
2021-01-01 00:00:00,19.43,1015.0,92.0,40.0,0.0,Haze/Fog
2021-01-01 01:00:00,18.29,1015.0,96.0,91.0,0.0,Cloudy
2021-01-01 02:00:00,18.83,1013.0,91.0,20.0,0.0,Cloudy
2021-01-01 03:00:00,18.83,1013.0,91.0,20.0,0.0,Cloudy
2021-01-01 04:00:00,18.4,1014.0,89.0,100.0,0.0,Cloudy
2021-01-01 05:00:00,18.33,1014.0,96.0,20.0,0.0,Haze/Fog
2021-01-01 06:00:00,18.33,1014.0,96.0,20.0,0.0,Haze/Fog
2021-01-01 07:00:00,18.4,1017.0,100.0,75.0,0.0,Haze/Fog
2021-01-01 08:00:00,19.62,1016.0,87.0,20.0,0.0,Haze/Fog
2021-01-01 09:00:00,19.99,1016.0,80.0,20.0,0.0,Haze/Fog
2021-01-01 10:00:00,22.41,1018.0,64.0,40.0,0.0,Haze/Fog
2021-01-01 11:00:00,23.83,994.0,55.0,20.0,0.0,Cloudy
2021-01-01 12:00:00,25.01,977.0,50.0,20.0,0.0,Cloudy
2021-01-01 13:00:00,26.17,957.0,47.0,40.0,0.0,Cloudy
2021-01-01 14:00:00,25.5,991.0,47.0,20.0,0.0,Cloudy
2021-01-01 15:00:00,25.5,991.0,48.0,20.0,0.0,Cloudy
2021-01-01 16:00:00,26.38,955.0,46.0,20.0,0.0,Cloudy
2021-01-01 17:00:00,23.5,1013.0,56.0,20.0,0.0,Cloudy
2021-01-01 18:00:00,23.08,1013.0,59.0,20.0,0.0,Cloudy
2021-01-01 19:00:00,21.9,1016.0,64.0,20.0,0.0,Cloudy
2021-01-01 20:00:00,20.11,1015.0,75.0,20.0,0.0,Cloudy
2021-01-01 21:00:00,20.11,1016.0,81.0,20.0,0.0,Haze/Fog
2021-01-01 22:00:00,20.4,1017.0,82.0,40.0,0.0,Haze/Fog
2021-01-01 23:00:00,18.95,1015.0,90.0,40.0,0.0,Haze/Fog
2021-01-02 00:00:00,18.95,1015.0,90.0,40.0,0.0,Haze/Fog
2021-01-02 01:00:00,17.06,1015.0,93.0,49.0,0.0,Cloudy
2021-01-02 02:00:00,17.54,1013.0,92.0,40.0,0.0,Cloudy
2021-01-02 03:00:00,17.54,1013.0,92.0,40.0,0.0,Cloudy
2021-01-02 04:00:00,16.72,1014.0,94.0,54.0,0.0,Cloudy
2021-01-02 05:00:00,17.38,1014.0,93.0,40.0,0.0,Haze/Fog
2021-01-02 06:00:00,17.38,1014.0,96.0,40.0,0.0,Haze/Fog
2021-01-02 07:00:00,18.4,1017.0,93.0,75.0,0.0,Haze/Fog
2021-01-02 08:00:00,19.19,1017.0,87.0,20.0,0.0,Haze/Fog
2021-01-02 09:00:00,19.56,1017.0,85.0,20.0,0.0,Haze/Fog
2021-01-02 10:00:00,24.22,979.0,60.0,40.0,0.0,Haze/Fog
2021-01-02 11:00:00,25.1,977.0,61.0,40.0,0.0,Haze/Fog
2021-01-02 12:00:00,25.41,977.0,60.0,40.0,0.0,Haze/Fog
2021-01-02 13:00:00,25.96,956.0,58.0,40.0,0.0,Cloudy
2021-01-02 14:00:00,24.64,991.0,66.0,40.0,0.0,Haze/Fog
2021-01-02 15:00:00,24.67,990.0,68.0,40.0,0.0,Haze/Fog
2021-01-02 16:00:00,25.69,955.0,63.0,40.0,0.0,Haze/Fog
2021-01-02 17:00:00,23.3,1012.0,77.0,40.0,0.0,Haze/Fog
2021-01-02 18:00:00,22.86,1012.0,81.0,40.0,0.0,Haze/Fog
2021-01-02 19:00:00,22.4,1016.0,83.0,40.0,0.0,Haze/Fog
2021-01-02 20:00:00,21.24,1014.0,90.0,40.0,0.0,Drizzle
2021-01-02 21:00:00,21.24,1015.0,90.0,40.0,0.0,Drizzle
2021-01-02 22:00:00,21.4,1016.0,88.0,40.0,0.0,Haze/Fog
2021-01-02 23:00:00,21.23,1014.0,91.0,40.0,0.0,Haze/Fog
2021-01-03 00:00:00,21.23,1014.0,91.0,40.0,0.0,Haze/Fog
2021-01-03 01:00:00,18.95,1014.0,95.0,6.0,0.0,Clear
2021-01-03 02:00:00,20.0,1011.0,93.0,40.0,0.0,Cloudy
2021-01-03 03:00:00,20.0,1011.0,93.0,40.0,0.0,Cloudy
2021-01-03 04:00:00,18.52,1012.0,96.0,64.0,0.0,Cloudy
2021-01-03 05:00:00,19.48,1013.0,99.0,20.0,0.0,Haze/Fog
2021-01-03 06:00:00,20.05,1012.0,93.0,40.0,0.0,Haze/Fog
2021-01-03 07:00:00,20.4,1015.0,93.0,40.0,0.0,Haze/Fog
2021-01-03 08:00:00,20.41,1014.0,88.0,40.0,0.0,Haze/Fog
2021-01-03 09:00:00,21.29,1014.0,84.0,40.0,0.0,Haze/Fog
2021-01-03 10:00:00,24.84,977.0,62.0,40.0,0.0,Haze/Fog
2021-01-03 11:00:00,25.96,975.0,62.0,40.0,0.0,Cloudy
2021-01-03 12:00:00,26.2,975.0,60.0,40.0,0.0,Cloudy
2021-01-03 13:00:00,27.06,954.0,56.0,40.0,0.0,Cloudy
2021-01-03 14:00:00,26.09,989.0,62.0,40.0,0.0,Cloudy
2021-01-03 15:00:00,26.12,988.0,65.0,40.0,0.17,Rainy
2021-01-03 16:00:00,25.74,973.0,68.0,75.0,0.0,Cloudy
2021-01-03 17:00:00,24.11,1010.0,76.0,40.0,0.0,Cloudy
2021-01-03 18:00:00,23.83,1011.0,77.0,40.0,0.17,Rainy
2021-01-03 19:00:00,22.75,1015.0,84.0,75.0,0.14,Rainy
2021-01-03 20:00:00,21.51,1013.0,92.0,20.0,0.19,Rainy
2021-01-03 21:00:00,21.51,1013.0,92.0,20.0,0.0,Cloudy
2021-01-03 22:00:00,20.4,1015.0,100.0,40.0,0.0,Cloudy
2021-01-03 23:00:00,20.73,1013.0,97.0,20.0,0.0,Haze/Fog
2021-01-04 00:00:00,20.73,1013.0,97.0,20.0,0.0,Haze/Fog
2021-01-04 01:00:00,20.0,1013.0,98.0,100.0,0.0,Cloudy
2021-01-04 02:00:00,20.44,1011.0,96.0,20.0,0.0,Cloudy
2021-01-04 03:00:00,20.44,1011.0,96.0,20.0,0.0,Cloudy
2021-01-04 04:00:00,19.73,1012.0,95.0,100.0,0.0,Cloudy
2021-01-04 05:00:00,19.48,1013.0,100.0,40.0,0.0,Haze/Fog
2021-01-04 06:00:00,20.2,1012.0,96.0,40.0,0.0,Haze/Fog
2021-01-04 07:00:00,20.4,1015.0,100.0,90.0,0.0,Haze/Fog
2021-01-04 08:00:00,20.1,1014.0,93.0,40.0,0.0,Haze/Fog
2021-01-04 09:00:00,20.1,1015.0,93.0,40.0,0.0,Haze/Fog
2021-01-04 10:00:00,23.34,977.0,77.0,75.0,0.0,Haze/Fog
2021-01-04 11:00:00,23.65,992.0,72.0,20.0,0.0,Haze/Fog
2021-01-04 12:00:00,23.95,992.0,72.0,20.0,0.0,Haze/Fog
2021-01-04 13:00:00,25.99,955.0,61.0,90.0,0.0,Haze/Fog
2021-01-04 14:00:00,24.24,990.0,68.0,40.0,0.0,Haze/Fog
2021-01-04 15:00:00,24.0,990.0,70.0,40.0,0.0,Haze/Fog
2021-01-04 16:00:00,25.68,954.0,63.0,90.0,0.0,Haze/Fog
2021-01-04 17:00:00,22.95,1012.0,76.0,40.0,0.0,Haze/Fog
2021-01-04 18:00:00,22.48,1012.0,76.0,40.0,0.0,Haze/Fog
2021-01-04 19:00:00,22.4,1015.0,83.0,40.0,0.0,Haze/Fog
2021-01-04 20:00:00,21.35,1014.0,86.0,20.0,0.0,Haze/Fog
2021-01-04 21:00:00,21.35,1014.0,86.0,20.0,0.0,Haze/Fog
2021-01-04 22:00:00,21.4,1016.0,88.0,40.0,0.0,Haze/Fog
2021-01-04 23:00:00,20.72,1014.0,91.0,40.0,0.0,Haze/Fog
2021-01-05 00:00:00,20.72,1014.0,91.0,40.0,0.0,Haze/Fog
2021-01-05 01:00:00,18.88,1014.0,99.0,87.0,0.0,Cloudy
2021-01-05 02:00:00,19.11,1012.0,98.0,20.0,0.0,Cloudy
2021-01-05 03:00:00,19.11,1012.0,98.0,20.0,0.0,Cloudy
2021-01-05 04:00:00,19.64,1013.0,93.0,97.0,0.0,Cloudy
2021-01-05 05:00:00,20.16,1012.0,94.0,20.0,0.0,Haze/Fog
2021-01-05 06:00:00,20.16,1013.0,94.0,20.0,0.0,Haze/Fog
2021-01-05 07:00:00,20.4,1015.0,93.0,75.0,0.0,Haze/Fog
2021-01-05 08:00:00,21.01,1014.0,88.0,40.0,0.0,Haze/Fog
2021-01-05 09:00:00,21.82,1015.0,83.0,40.0,0.0,Haze/Fog
2021-01-05 10:00:00,24.63,958.0,69.0,75.0,0.0,Haze/Fog
2021-01-05 11:00:00,25.03,989.0,70.0,40.0,0.19,Rainy
2021-01-05 12:00:00,25.31,989.0,68.0,40.0,0.0,Cloudy
2021-01-05 13:00:00,26.73,970.0,59.0,40.0,0.0,Cloudy
2021-01-05 14:00:00,26.62,986.0,61.0,20.0,0.0,Cloudy
2021-01-05 15:00:00,26.18,986.0,65.0,20.0,0.0,Cloudy
2021-01-05 16:00:00,24.38,1013.0,76.0,75.0,0.28,Rainy
2021-01-05 17:00:00,24.11,1011.0,76.0,40.0,0.0,Cloudy
2021-01-05 18:00:00,23.77,1011.0,79.0,40.0,0.0,Cloudy
2021-01-05 19:00:00,22.97,1015.0,85.0,40.0,0.12,Rainy
2021-01-05 20:00:00,21.54,1014.0,89.0,20.0,0.12,Rainy
2021-01-05 21:00:00,21.87,1015.0,90.0,20.0,0.2,Rainy
